SINGLE-PASS HUB FACE FILES — MANUAL REVIEW NEEDED
======================================================================
Total: 84 files

These programs take only ONE hub face pass (to Z-0.25")
then immediately switch to OD turning.
DB shows hub_height >= 0.50" — they may be missing passes.

Program      Type           Hub Ht     Round    Thick      File
o61064       hub_centric    0.500"     6.0      1.5000     C:/Users/John Wayne/Documents/File organizer/repository\o61064.nc
o40000       hub_centric    0.500"     7.0      2.0000     C:/Users/John Wayne/Documents/File organizer/repository\o40000.nc
o73097       hub_centric    0.510"     7.0      1.2500     C:/Users/John Wayne/Documents/File organizer/repository\o73097.nc
o73209       hub_centric    0.500"     7.0      1.2500     C:/Users/John Wayne/Documents/File organizer/repository\o73209.nc
o73211       hub_centric    0.500"     7.0      1.0000     C:/Users/John Wayne/Documents/File organizer/repository\o73211.nc
o73426       hub_centric    0.500"     7.0      1.2500     C:/Users/John Wayne/Documents/File organizer/repository\o73426.nc
o75307       hub_centric    0.500"     7.0      1.7500     C:/Users/John Wayne/Documents/File organizer/repository\o75307.nc
o00757       hub_centric    0.500"     7.5      1.5000     C:/Users/John Wayne/Documents/File organizer/repository\o00757.nc
o75101       hub_centric    0.500"     7.5      1.2500     C:/Users/John Wayne/Documents/File organizer/repository\o75101.nc
o08001       2PC STUD       0.500"     8.0      0.7500     C:/Users/John Wayne/Documents/File organizer/repository\o08001.nc
o80012       hub_centric    0.500"     8.0      2.0000     C:/Users/John Wayne/Documents/File organizer/repository\o80012.nc
o88008       2PC STUD       0.500"     8.0      0.7500     C:/Users/John Wayne/Documents/File organizer/repository\o88008.nc
o89000       hub_centric    0.650"     8.0      0.8000     C:/Users/John Wayne/Documents/File organizer/repository\o89000.nc
o38801       hub_centric    0.600"     8.5      1.2500     C:/Users/John Wayne/Documents/File organizer/repository\o38801.nc
o09904       hub_centric    0.500"     9.5      4.0000     C:/Users/John Wayne/Documents/File organizer/repository\o09904.nc
o09909       hub_centric    0.500"     9.5      1.0000     C:/Users/John Wayne/Documents/File organizer/repository\o09909.nc
o09911       hub_centric    0.500"     9.5      2.5000     C:/Users/John Wayne/Documents/File organizer/repository\o09911.nc
o95012       hub_centric    0.500"     9.5      4.0000     C:/Users/John Wayne/Documents/File organizer/repository\o95012.nc
o95101       2PC STUD       0.500"     9.5      0.7500     C:/Users/John Wayne/Documents/File organizer/repository\o95101.nc
o95111       2PC STUD       0.500"     9.5      0.7500     C:/Users/John Wayne/Documents/File organizer/repository\o95111.nc
o13001       2PC LUG        0.500"     13.0     1.0000     C:/Users/John Wayne/Documents/File organizer/repository\o13001.nc
o13005       2PC LUG        0.500"     13.0     2.0000     C:/Users/John Wayne/Documents/File organizer/repository\o13005.nc
o13007       2PC LUG        0.500"     13.0     1.0000     C:/Users/John Wayne/Documents/File organizer/repository\o13007.nc
o13014       hub_centric    0.500"     13.0     1.0000     C:/Users/John Wayne/Documents/File organizer/repository\o13014.nc
o13200       hub_centric    0.500"     13.0     1.2500     C:/Users/John Wayne/Documents/File organizer/repository\o13200.nc
o13210       hub_centric    0.500"     13.0     1.0000     C:/Users/John Wayne/Documents/File organizer/repository\o13210.nc
o13770       hub_centric    0.500"     13.0     3.0000     C:/Users/John Wayne/Documents/File organizer/repository\o13770.nc
o13777       hub_centric    0.500"     13.0     3.0000     C:/Users/John Wayne/Documents/File organizer/repository\o13777.nc
o22222       hub_centric    0.600"     13.0     1.0000     C:/Users/John Wayne/Documents/File organizer/repository\o22222.nc


NO-Z025-S2 FILES (different hub face structure)
======================================================================
Total: 24 files

Program      Type           Hub Ht     Round    Thick      Reason
------------------------------------------------------------------------------------------
o61035       hub_centric    0.500"     6.0      1.2500     no_z025_on_s2 | C:/Users/John Wayne/Documents/File organizer/repository\o61035.nc
o62544       hub_centric    0.500"     6.25     1.2500     no_z025_on_s2 | C:/Users/John Wayne/Documents/File organizer/repository\o62544.nc
o62599       hub_centric    0.500"     6.25     1.2500     no_z025_on_s2 | C:/Users/John Wayne/Documents/File organizer/repository\o62599.nc
o63668       hub_centric    0.500"     6.25     2.5000     no_z025_on_s2 | C:/Users/John Wayne/Documents/File organizer/repository\o63668.nc
o63670       hub_centric    0.680"     6.25     1.5748     no_z025_on_s2 | C:/Users/John Wayne/Documents/File organizer/repository\o63670.nc
o63671       hub_centric    0.500"     6.25     1.8504     no_z025_on_s2 | C:/Users/John Wayne/Documents/File organizer/repository\o63671.nc
o63679       hub_centric    0.500"     6.25     2.5000     no_z025_on_s2 | C:/Users/John Wayne/Documents/File organizer/repository\o63679.nc
o63704       hub_centric    0.500"     6.25     1.0000     no_z025_on_s2 | C:/Users/John Wayne/Documents/File organizer/repository\o63704.nc
o63727       hub_centric    0.500"     6.25     2.0000     no_z025_on_s2 | C:/Users/John Wayne/Documents/File organizer/repository\o63727.nc
o63757       2PC STUD       0.500"     6.25     0.7500     no_z025_on_s2 | C:/Users/John Wayne/Documents/File organizer/repository\o63757.nc
o65005       2PC LUG        2.000"     6.5      3.1693     no_z025_on_s2 | C:/Users/John Wayne/Documents/File organizer/repository\o65005.nc
o65011       hub_centric    0.500"     6.5      0.7874     no_z025_on_s2 | C:/Users/John Wayne/Documents/File organizer/repository\o65011.nc
o65012       hub_centric    0.500"     6.5      1.0000     no_z025_on_s2 | C:/Users/John Wayne/Documents/File organizer/repository\o65012.nc
o65693       hub_centric    0.500"     6.5      1.5000     no_z025_on_s2 | C:/Users/John Wayne/Documents/File organizer/repository\o65693.nc
o73117       hub_centric    0.500"     7.0      1.7500     no_z025_on_s2 | C:/Users/John Wayne/Documents/File organizer/repository\o73117.nc
o73171       hub_centric    0.500"     7.0      1.5000     no_z025_on_s2 | C:/Users/John Wayne/Documents/File organizer/repository\o73171.nc
o73172       hub_centric    0.500"     7.0      1.7500     no_z025_on_s2 | C:/Users/John Wayne/Documents/File organizer/repository\o73172.nc
o73242       hub_centric    0.500"     7.0      1.5000     no_z025_on_s2 | C:/Users/John Wayne/Documents/File organizer/repository\o73242.nc
o07101       2PC STUD       0.500"     7.5      0.7500     no_z025_on_s2 | C:/Users/John Wayne/Documents/File organizer/repository\o07101.nc
o40080       2PC STUD       0.500"     7.5      0.7500     no_z025_on_s2 | C:/Users/John Wayne/Documents/File organizer/repository\o40080.nc
o75102       hub_centric    0.500"     7.5      0.7500     no_z025_on_s2 | C:/Users/John Wayne/Documents/File organizer/repository\o75102.nc
o75445       2PC STUD       0.500"     7.5      0.7500     no_z025_on_s2 | C:/Users/John Wayne/Documents/File organizer/repository\o75445.nc
o85003       2PC STUD       0.500"     8.5      1.5000     no_z025_on_s2 | C:/Users/John Wayne/Documents/File organizer/repository\o85003.nc
o85110       hub_centric    0.500"     8.5      2.0000     no_z025_on_s2 | C:/Users/John Wayne/Documents/File organizer/repository\o85110.nc
